year_month,product,price,category
202202,黄瓜,7.09,蔬菜
202202,莴笋,4.95,蔬菜
202202,青椒,7.08,蔬菜
202202,菜花,4.36,蔬菜
202202,生姜,5.68,蔬菜
202202,香菇,12.11,蔬菜
202202,蒜苔,10.06,蔬菜
202202,平菇,7.68,蔬菜
202202,大葱,6.01,蔬菜
202202,韭菜,7.61,蔬菜
202202,西葫芦,4.25,蔬菜
202202,洋白菜,2.50,蔬菜
202202,油菜,3.98,蔬菜
202202,菠菜,6.21,蔬菜
202202,冬瓜,2.83,蔬菜
202202,大蒜,7.64,蔬菜
202202,生菜,5.48,蔬菜
202202,莲藕,8.03,蔬菜
202202,南瓜,3.28,蔬菜
202202,葱头,2.51,蔬菜
202202,大白菜,2.07,蔬菜
202202,土豆,2.34,蔬菜
202203,芹菜,4.33,蔬菜
202203,西红柿,7.09,蔬菜
202203,豆角,13.52,蔬菜
202203,白萝卜,1.84,蔬菜
202203,茄子,6.91,蔬菜
202203,胡萝卜,2.96,蔬菜
202203,黄瓜,6.62,蔬菜
202203,莴笋,4.81,蔬菜
202203,青椒,8.69,蔬菜
202203,菜花,4.57,蔬菜
202203,生姜,5.39,蔬菜
202203,香菇,11.65,蔬菜
202203,蒜苔,11.61,蔬菜
202203,平菇,6.89,蔬菜
202203,大葱,6.80,蔬菜
202203,韭菜,6.39,蔬菜
202203,西葫芦,4.98,蔬菜
202203,洋白菜,2.63,蔬菜
202203,油菜,3.84,蔬菜
202203,菠菜,4.88,蔬菜
202203,冬瓜,3.83,蔬菜
202203,大蒜,7.32,蔬菜
202203,生菜,5.50,蔬菜
202203,莲藕,7.14,蔬菜
202203,南瓜,3.54,蔬菜
202203,葱头,2.61,蔬菜
202203,大白菜,2.57,蔬菜
202203,土豆,2.38,蔬菜
202204,芹菜,4.34,蔬菜
202204,西红柿,6.26,蔬菜
202204,豆角,10.65,蔬菜
202204,白萝卜,2.16,蔬菜
202204,茄子,6.03,蔬菜
202204,胡萝卜,3.30,蔬菜
202204,黄瓜,4.86,蔬菜
202204,莴笋,3.52,蔬菜
202204,青椒,7.75,蔬菜
202204,菜花,4.71,蔬菜
202204,生姜,5.23,蔬菜
202204,香菇,11.57,蔬菜
202204,蒜苔,8.52,蔬菜
202204,平菇,7.66,蔬菜
202204,大葱,6.54,蔬菜
202204,韭菜,4.76,蔬菜
202204,西葫芦,3.99,蔬菜
202204,洋白菜,2.60,蔬菜
202204,油菜,3.58,蔬菜
202204,菠菜,4.64,蔬菜
202204,冬瓜,4.80,蔬菜
202204,大蒜,7.13,蔬菜
202204,生菜,4.78,蔬菜
202204,莲藕,7.37,蔬菜
202204,南瓜,4.25,蔬菜
202204,葱头,3.13,蔬菜
202204,大白菜,2.89,蔬菜
202204,土豆,2.75,蔬菜
202205,芹菜,3.70,蔬菜
202205,西红柿,5.26,蔬菜
202205,豆角,7.89,蔬菜
202205,白萝卜,1.83,蔬菜
202205,茄子,4.76,蔬菜
202205,胡萝卜,3.37,蔬菜
202205,黄瓜,3.22,蔬菜
202205,莴笋,3.11,蔬菜
202205,青椒,4.53,蔬菜
